"AS59139","WIFIKU-AS-ID PT Wifiku Indonesia",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},3154,
"AS38778","DWPNET-AS-ID PT. Dutakom Wibawa Putra",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},3000,
"AS24536","ELNUS-AS-ID PT. Elektrindo Data Nusantara",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},2966,
"AS24521","DATAUTAMA-NET-AS-ID PT. DATA Utama Dinamika",{v: 0.07, f:'0.07%'},{v: 0.07, f: '0.07%'},2911,
"AS46044","UNPAD-AS-ID Universitas Padjadjaran",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},2821,
"AS55684","UNS-AS-ID Universitas Sebelas Maret",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},2763,
"AS38896","CERGIS-AS-AP PT. Centra Global Investama",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},2551,
"AS24530","POWERNET-AS-ID PT. Power Telecom Indonesia",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},2530,
"AS24535","ISATNET-AS-ID PT.Insan Sarana Telematika",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},2400,
"AS17884","UNINET-AP PT. Uninet Media Sakti (ISP)",{v: 0.04, f:'0.04%'},{v: 0.00, f: '0.00%'},2382,
"AS9326","CENTRIN-AS-AP PT Centrin Utama",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},2360,
"AS24526","BINUS Bina Nusantara University",{v: 0.04, f:'0.04%'},{v: 0.04, f: '0.04%'},2314,
"AS58482","PALAPAMEDIA-AS-ID PT. Palapa Media Indonesia",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},2307,
"AS17553","IPBNET-AS-AP Bogor Agricultural University",{v: 0.26, f:'0.26%'},{v: 0.17, f: '0.17%'},2306,
"AS38773","CIPUTRA-AS-ID CiputraNet",{v: 0.04, f:'0.04%'},{v: 0.04, f: '0.04%'},2272,
"AS55665","STMI-AS-ID PT Sampoerna Telemedia Indonesia",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},2265,
